NOME FANTASIA;address;Bairro;LATITUDE;LONGITUDE
UMS VILA FELIZ;RUA PEDRO GUSSO - 866;NOVO MUNDO;-25.49719;-49.30346
UMS VILA LEAO;PRIMO LOURENCO TOSIN - S/N;PORTAO;-25.48496;-49.30228
UMS PARQUE INDUSTRIAL;RUA LAUDELINO FERREIRA LOPES - 1801;CAPAO RASO;-25.50792;-49.30433
UMS SANTA QUITERIA II;RUA BOCAIUVA - 310;SANTA QUITERIA;-25.47673;-49.31636
UMS SANTA AMELIA;RUA BERTA KLEMTZ - 215;FAZENDINHA;-25.48457;-49.32535
UMS NOSSA SENHORA DO SAGRADO CORACAO PSF;RUA ANTONIO CLAUDINO - 375;PINHEIRINHO;-25.53513;-49.29564
UMS SABARA PSF;RUA PEDRO ANDRETTA - 3030;CIC;-25.52108;-49.3251
UMS FANNY LINDOIA;RUA CONDE DOS ARCOS - 295;LINDOIA;-25.47888;-49.27295
UMS VILA GUAIRA;RUA SAO PAULO - S/N;VILA GUAIRA;-25.46675;-49.27767
UMS SAO PEDRO;RUA BERNARDO MANN S N - S/N;XAXIM;-25.5211;-49.27011
UMS SANTOS ANDRADE;RUA NELSON FERREIRA DA LUZ - 145;CAMPO COMPRIDO;-25.46014;-49.32515
UMS CAMPINA DO SIQUEIRA;MARIO TOURINHO - 1684;CAMPINA DO SIQUEIRA;-25.43767;-49.30769
UMS XAPINHAL PSF;RUA ELBE DE MACEDO - S/N;SITIO CERCADO;-25.5391;-49.28153
UMS VILA VERDE PSF;RUA EMILIO ROMANI - 200;CIDADE INDUSTRIAL;-25.52985;-49.33505
UMS VILA HAUER;RUA WALDEMAR KOST - 650;HAUER;-25.48162;-49.24638
UMS VILA ESPERANCA PSF;RUA CATARATAS DO IGUACU - 192;ATUBA;-25.43824;-49.28667
UMS TARUMA PSF;RUA JOSE VERISSIMO - 1352;BAIRRO ALTO;-25.43824;-49.28667
UMS DOM BOSCO PSF;RUA ANGELO TOZIN - 100;CAMPO SANTANA;-25.43824;-49.28667
UMS PAROLIN PSF;RUA SERGIPE - 56;PAROLIN;-25.45436;-49.26283
